Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Sweden,2024.0,SPO-SE157868_00005_100,SE157868,14.15952,57.77824,97.5,urban,traffic,STA-SE157868
Sweden,2024.0,SPO-SE0095A_00005_100,SE0095A,17.30889,62.38856,7.0,urban,traffic,STA-SE0095A
Sweden,2024.0,SPO-SE0106A_00005_100,SE0106A,18.71606,63.29138,10.0,urban,traffic,STA-SE0106A
Sweden,2024.0,SPO-SE33866_00005_100,SE33866,14.55613,56.89933,152.0,urban,traffic,STA-SE33866
Sweden,2024.0,SPO-SE36199_00005_100,SE36199,13.94199,56.83479,137.0,urban,traffic,STA-SE36199
Sweden,2024.0,SPO-SE0093A_00005_100,SE0093A,12.86337,56.67206,6.0,urban,traffic,STA-SE0093A
Sweden,2024.0,SPO-SE07111_00007_100,SE07111,12.8576,56.6729,20.0,urban,background,STA-SE07111
Sweden,2024.0,SPO-SE0004A_00001_100,SE0004A,11.97024,57.70902,31.0,urban,background,STA-SE0004A
Sweden,2024.0,SPO-SE0067A_00005_100,SE0067A,11.96055,57.69786,9.0,urban,traffic,STA-SE0067A
Sweden,2024.0,SPO-SE0061A_00001_100,SE0061A,15.99215,59.51394,6.5,urban,background,STA-SE0061A
Sweden,2024.0,SPO-SE0059A_00005_100,SE0059A,20.25849,63.82886,15.0,urban,traffic,STA-SE0059A
Sweden,2024.0,SPO-SE0091A_00005_100,SE0091A,20.9605,64.7505,10.0,urban,traffic,STA-SE0091A
Sweden,2024.0,SPO-SE164766_00005_100,SE164766,20.6657,67.13597,355.0,urban,traffic,STA-SE164766
Sweden,2024.0,SPO-SE0100A_00005_100,SE0100A,22.14042,65.58062,4.1,urban,traffic,STA-SE0100A
Sweden,2024.0,SPO-SE0101A_00001_100,SE0101A,22.14383,65.58319,30.0,urban,background,STA-SE0101A
Sweden,2024.0,SPO-SE31752_00005_100,SE31752,21.47917,65.31811,5.0,urban,traffic,STA-SE31752
Sweden,2024.0,SPO-SE165162_00008_100,SE165162,21.69064,65.82259,13.5,urban,traffic,STA-SE165162
Sweden,2024.0,SPO-SE21059_00005_100,SE21059,21.68995,65.82549,20.0,urban,traffic,STA-SE21059
Slovenia,2023.0,SPO-SI0001A_00001_100,SI0001A,15.26248,46.23451,240.0,urban,background,STA-SI0001A
Slovenia,2023.0,SPO-SI0002A_00001_100,SI0002A,15.6513,46.55887,270.0,urban,traffic,STA-SI0002A
Slovenia,2023.0,SPO-SI0003A_00001_100,SI0003A,14.51272,46.06554,299.0,urban,background,STA-SI0003A
Slovenia,2023.0,SPO-SI0008R_00001_100,SI0008R,14.85807,45.5611,540.0,rural,background,STA-SI0008R
Slovenia,2023.0,SPO-SI0033A_00001_100,SI0033A,16.19132,46.65209,188.0,rural,background,STA-SI0033A
Slovenia,2023.0,SPO-SI0034A_00001_100,SI0034A,13.65239,45.95557,113.0,urban,background,STA-SI0034A
Slovenia,2023.0,SPO-SI0036A_00001_100,SI0036A,14.99612,46.13111,241.0,urban,traffic,STA-SI0036A
Slovenia,2023.0,SPO-SI0038A_00005_100,SI0038A,13.71352,45.54301,56.0,urban,background,STA-SI0038A
Slovenia,2023.0,SPO-SI0054A_00001_100,SI0054A,15.03523,46.13878,250.0,suburban,background,STA-SI0054A
